location_description,primary_type,counts
ABANDONED BUILDING,NARCOTICS,3009
AIRCRAFT,THEFT,416
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,THEFT,536
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,THEFT,526
AIRPORT EXTERIOR - NON-SECURE AREA,THEFT,257
AIRPORT EXTERIOR - SECURE AREA,THEFT,208
AIRPORT PARKING LOT,THEFT,440
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,CRIMINAL TRESPASS,993
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,THEFT,697
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,THEFT,64
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,THEFT,454
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,THEFT,1340
AIRPORT TRANSPORTATION SYSTEM (ATS),THEFT,101
AIRPORT VENDING ESTABLISHMENT,DECEPTIVE PRACTICE,531
AIRPORT/AIRCRAFT,THEFT,5415
ALLEY,NARCOTICS,47753
ANIMAL HOSPITAL,THEFT,177
APARTMENT,BATTERY,309501
APPLIANCE STORE,THEFT,1020
ATHLETIC CLUB,THEFT,7629
ATM (AUTOMATIC TELLER MACHINE),DECEPTIVE PRACTICE,7239
AUTO,HOMICIDE,1370
AUTO / BOAT / RV DEALERSHIP,THEFT,339
BANK,DECEPTIVE PRACTICE,20437
BANQUET HALL,HOMICIDE,2
BAR OR TAVERN,THEFT,17750
BARBER SHOP/BEAUTY SALON,HOMICIDE,26
BARBERSHOP,BURGLARY,1689
BASEMENT,HOMICIDE,32
BEACH,HOMICIDE,1
BOAT / WATERCRAFT,BATTERY,31
BOAT/WATERCRAFT,THEFT,299
BOWLING ALLEY,THEFT,348
BRIDGE,CRIMINAL DAMAGE,107
CAR WASH,THEFT,934
CEMETARY,THEFT,150
CHA APARTMENT,BATTERY,14362
CHA BREEZEWAY,HOMICIDE,3
CHA ELEVATOR,HOMICIDE,3
CHA GROUNDS,HOMICIDE,46
CHA HALLWAY,HOMICIDE,37
CHA HALLWAY / STAIRWELL / ELEVATOR,BATTERY,195
CHA HALLWAY/STAIRWELL/ELEVATOR,CRIMINAL TRESPASS,10633
CHA LOBBY,HOMICIDE,9
CHA PARKING LOT,HOMICIDE,58
CHA PARKING LOT / GROUNDS,BATTERY,373
CHA PARKING LOT/GROUNDS,NARCOTICS,21044
CHA PLAY LOT,HOMICIDE,4
